giảm,người,chuyển,yêu,vừa,đi,Cảm xúc
0..5,11..20,>20,11..20,>20,0..5,tốt 
11..20,6..10,6..10,0..5,11..20,11..20,tốt 
6..10,0..5,6..10,11..20,0..5,6..10,xấu 
>20,0..5,11..20,6..10,0..5,>20,bình thường
0..5,>20,11..20,0..5,6..10,0..5,xấu 
0..5,6..10,0..5,0..5,11..20,11..20,xấu 
0..5,6..10,11..20,0..5,6..10,0..5,tốt 
11..20,>20,0..5,11..20,0..5,11..20,bình thường
0..5,0..5,6..10,6..10,6..10,>20,tốt 
11..20,0..5,11..20,11..20,0..5,11..20,tốt 
>20,6..10,0..5,0..5,0..5,6..10,xấu 
0..5,0..5,11..20,0..5,11..20,>20,bình thường
6..10,11..20,6..10,>20,0..5,6..10,bình thường
11..20,6..10,>20,11..20,0..5,0..5,xấu 
0..5,6..10,0..5,11..20,6..10,0..5,
0..5,0..5,6..10,0..5,11..20,>20,
6..10,0..5,11..20,>20,6..10,6..10,
6..10,11..20,6..10,6..10,>20,0..5,
